Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Nacional,2021,1,Hombres,5687086,32671161,17.407052050000000000000
Nacional,2021,1,Mujeres,3266812,20302109,16.090998230000000000000
Aguascalientes,2021,1,Hombres,100116,360857,27.743953980000000000000
Aguascalientes,2021,1,Mujeres,48719,235035,20.728402150000000000000
Baja California,2021,1,Hombres,264680,1022533,25.884739170000000000000
Baja California,2021,1,Mujeres,198927,665201,29.904795690000000000000
Baja California Sur,2021,1,Hombres,18736,225860,8.2954042330000000000000
Baja California Sur,2021,1,Mujeres,15451,157493,9.8105947570000000000000
Campeche,2021,1,Hombres,21761,267095,8.1472884180000000000000
Campeche,2021,1,Mujeres,14991,158925,9.4327512980000000000000
Coahuila,2021,1,Hombres,269720,837300,32.213065810000000000000
Coahuila,2021,1,Mujeres,118330,509519,23.223864080000000000000
Colima,2021,1,Hombres,15199,202119,7.5198274280000000000000
Colima,2021,1,Mujeres,15041,151435,9.9323141940000000000000
Chiapas,2021,1,Hombres,195954,1439906,13.608805020000000000000
Chiapas,2021,1,Mujeres,71420,623719,11.450669290000000000000
Chihuahua,2021,1,Hombres,276582,989290,27.957626180000000000000
Chihuahua,2021,1,Mujeres,207473,615485,33.708863740000000000000
Ciudad de M xico,2021,1,Hombres,258311,2178955,11.854811140000000000000
Ciudad de M xico,2021,1,Mujeres,134138,1691499,7.9301258820000000000000
Durango,2021,1,Hombres,87263,474551,18.38853990000000000000
Durango,2021,1,Mujeres,46289,295678,15.6552060000000000000
Guanajuato,2021,1,Hombres,434450,1541905,28.176184650000000000000
Guanajuato,2021,1,Mujeres,236537,983717,24.045228450000000000000
Guerrero,2021,1,Hombres,46990,841783,5.5821987380000000000000
Guerrero,2021,1,Mujeres,55271,550204,10.045546740000000000000
Hidalgo,2021,1,Hombres,127296,747911,17.020206950000000000000
Hidalgo,2021,1,Mujeres,91694,481089,19.059675030000000000000
Jalisco,2021,1,Hombres,464587,2265715,20.505094420000000000000
Jalisco,2021,1,Mujeres,215743,1469881,14.677582740000000000000
M xico,2021,1,Hombres,772684,4288623,18.017065150000000000000
M xico,2021,1,Mujeres,326076,2495659,13.065727330000000000000
Michoac n,2021,1,Hombres,148228,1238187,11.971374280000000000000
